CLAVE_UNICA,NOM_LOC,POBTOT,SCORE_REZAGO,GRADO_REZAGO,LAT_DECIMAL,LON_DECIMAL
200020210,Los Huertos [Fraccionamiento],225,12.4925021469,Alto,18.50158,-96.545742
200020223,Los Caracoles,6,1.3889241823,Bajo,18.539052,-96.641079
200020227,Palma Cuata,105,7.3581380234,Medio,18.362717,-96.621099
200020230,Los Lara [Rancho],27,11.8531130165,Alto,18.497299,-96.535248
200020235,Los Benitos [Rancho],15,8.0768721436,Medio,18.443044,-96.492278
200020237,El Borrego,16,7.1208819133,Bajo,18.430937,-96.622438
200020241,Los Osorio (Parcela los Osorio) [Rancho},9,9.0409294973,Medio,18.406944,-96.383009
200020242,La Cotorrita,11,7.3867864308,Medio,18.525377,-96.620798
200030001,Asunción Cacalotepec,785,9.0621085887,Medio,17.035264,-95.956562
200030002,Cerro Moneda,542,7.4361850434,Medio,17.012269,-95.919585
200030003,San Antonio Tlaxcaltepec,358,8.0480807283,Medio,17.069597,-95.927062
200030004,Santa Cruz Aguatlán,171,6.7782204135,Bajo,17.058474,-95.911573
200030005,Casa Grande,138,7.8788409415,Medio,17.055566,-95.899262
200030006,Orilla de Llano,108,7.6501007302,Medio,17.009273,-95.945935
200030007,Campo México,109,7.824956531,Medio,17.019443,-95.9336
200030010,Zompantle,254,8.6630522962,Medio,17.016178,-95.902488
200030011,Piedra Colorada,12,4.3547997562,Bajo,17.054734,-95.922156
200030013,Camino al Albergue,43,8.1014991052,Medio,17.040313,-95.949665
200030014,Tsakuxeeny (Piedra de Dos Puntas),13,2.2069200442,Bajo,17.042369,-95.947586
200030015,Pukëpäjkm (Barrio Verde),14,6.1760374303,Bajo,17.032792,-95.968036
200040001,Asunción Cuyotepeji,1030,10.7767733419,Alto,17.930901,-97.674352
200040004,Barrio Santa Cruz,54,12.4927848821,Alto,17.936623,-97.676523
200040006,Barrio San Antonio,22,10.5296093941,Alto,17.92981,-97.676605
200050001,Asunción Ixtaltepec,7616,11.968308167,Alto,16.50384,-95.057045
200050002,Aguas Calientes la Mata,870,11.7250178143,Alto,16.618258,-94.975015
200050004,La Cueva,142,11.5123123315,Alto,16.627256,-94.98845
200050005,Chivela,574,11.1152714547,Alto,16.71184,-94.996747
200050006,Chivixhuyo,853,9.750725094,Alto,16.807827,-94.963268
200050007,Lázaro Cárdenas,1277,9.339591198,Medio,16.725529,-94.861143
200050009,Mazahua,308,11.0879934642,Alto,16.631085,-94.947671
200050012,El Mezquite,382,11.8158773507,Alto,16.692994,-94.956224
200050013,El Morrito,417,11.669980776,Alto,16.725562,-94.979991
200050015,Santiago Ixtaltepec,1089,11.4465251989,Alto,16.684479,-94.908526
200050017,Sitio de las Flores,124,11.3531520211,Alto,16.738264,-94.901747
200050025,Santa Rosa,263,11.3829444471,Alto,16.743108,-94.995865
200050028,Cieneguilla,304,9.5256908297,Medio,16.758907,-94.963837
200050033,Ixtepec Segunda [Unidad Habitacional],262,13.1390148801,Alto,16.465684,-95.086265
200050034,Gaña,7,11.0827236295,Alto,16.653084,-95.008633
200050036,Mena,197,11.4150505413,Alto,16.659611,-95.011444
200050042,La Deportiva [Colonia],100,11.3672912121,Alto,16.497518,-95.066985
200050045,Rancho Vicente López Vásquez,25,7.1399962241,Bajo,16.521265,-95.043411
200050049,Santa Rita [Barrio],12,12.2270627469,Alto,16.510247,-95.064579
200050054,Quinta Sección,135,11.8818559233,Alto,16.4984,-95.052067
200050057,Tecnológico [Barrio],59,11.6277001892,Alto,16.491296,-95.142259
200050066,La Brecha,22,9.8349903247,Alto,16.496554,-95.154616
200050102,Santa Cruz [Colonia],98,11.1365911072,Alto,16.524983,-95.071464
200060001,Asunción Nochixtlán,15851,11.6354666886,Alto,17.458936,-97.225199
200060002,Santiago Amatlán,392,10.1837033574,Alto,17.52818,-97.220796
200060003,El Cortijo,37,9.2954108017,Medio,17.338308,-97.125054
200060004,Nuevo Morelos,107,8.7499167751,Medio,17.353765,-97.112512
200060005,San Andrés Achio (Sachío),80,10.2925127097,Alto,17.39103,-97.192425
200060006,San Miguel Adéquez (Adequés),83,9.0939926951,Medio,17.458589,-97.145836
200060007,San Pedro Quilitongo,82,9.882290578,Alto,17.465225,-97.161414
200060008,Santa Catarina Adéquez (Adequés),411,9.4624318349,Medio,17.434562,-97.144648
200060009,Santa Cruz Río Salinas,45,9.7587443067,Alto,17.388389,-97.14592
200060010,Santa María Añuma,52,10.3009315943,Alto,17.406576,-97.178849
200060011,Santa María Tinú,172,9.8172311895,Alto,17.371806,-97.127495
200060013,Santiago Ixtaltepec,116,9.1043146853,Medio,17.543108,-97.113697
200060014,Santiago Mitlatongo,281,8.8062266505,Medio,17.197507,-97.281946
200060015,La Cumbre,269,8.6839529385,Medio,17.559168,-97.119642
200060016,Ojo de Agua Mitlatongo,270,8.4015665749,Medio,17.217909,-97.278755
200060018,Cantera,25,7.0068205628,Bajo,17.431127,-97.210387
200060019,Santiago Camotlán,24,9.5667550033,Medio,17.459333,-97.023233
200060024,Yudanchica,28,8.1036452171,Medio,17.36278,-97.144811
200060025,Loma Larga,22,7.8473361969,Medio,17.36417,-97.138316
200060026,El Encinal,10,8.216046091,Medio,17.341472,-97.136163
200060029,Reforma Asunción Nochixtlán,67,9.3989063218,Medio,17.369035,-97.145549
200060031,Yodonguio,163,10.1441233191,Alto,17.446918,-97.208418
200060033,Santiago Buena Vista (Ticúa),182,9.3161094039,Medio,17.43373,-97.220442
200060034,Don Toribio,7,5.9981501703,Bajo,17.462876,-97.196793
200060035,Yotoyuco,105,9.1980640021,Medio,17.455112,-97.206227
200060036,Unidad Piedra de Sangre (Morelos Uno),22,8.4551126255,Medio,17.530305,-97.103527
200060037,La Unión Libertad Ixtaltepec,60,9.0968398997,Medio,17.568749,-97.097077
200060038,Tres Caminos,8,7.7213274421,Medio,17.557673,-97.2083
200060048,Yuyete,16,6.490587684,Bajo,17.458429,-97.193628
200060049,Yutielle,27,5.6559394358,Bajo,17.482846,-97.219077
200060065,Cuesta Colorada,19,8.6948425599,Medio,17.318111,-97.114288
200060066,Cuesta Blanca,17,10.9027940166,Alto,17.329044,-97.143049
200060070,La Labor,332,9.7295677663,Alto,17.476381,-97.219544
200060076,Valle Encantado [Colonia],68,11.4614664385,Alto,17.441746,-97.2259
200060079,Yusebedo,85,11.1212349924,Alto,17.451357,-97.20726
200060082,El Llano (La Ciénega),44,9.387013611,Medio,17.448768,-97.245718
200060083,Los Olivos [Fraccionamiento],19,11.9781393091,Alto,17.460852,-97.256688
200060087,La Labor (Duraznal),13,5.389532958,Bajo,17.480026,-97.22367
200060088,El Eucalipto (Yodonguio) [Rancho],18,12.538057336,Alto,17.443309,-97.219085
200060089,Mixtly,12,10.2887012529,Alto,17.46409,-97.248962
200060091,El Progreso (El Moral),94,9.1247513975,Medio,17.432684,-97.137806
200060092,Rancho Verde,37,9.4134135779,Medio,17.569821,-97.076961
200060093,La Unión Mitlatongo,55,6.0344894204,Bajo,17.190827,-97.262152
200060094,Piedra Azul (Morelos Dos),42,8.3272168251,Medio,17.545459,-97.092064
200060096,Casa Blanca,37,8.1251078006,Medio,17.423868,-97.212401
200060097,20 de Noviembre [Colonia],233,6.0530737111,Bajo,17.440877,-97.227868
200060098,El Enebro [Fraccionamiento],28,11.868514134,Alto,17.431604,-97.22034
200060101,El Manzano [Rancho],19,7.0587834273,Bajo,17.337855,-97.111738
200060102,El Carrizal,46,10.5588571823,Alto,17.468254,-97.258578
200060103,Yuxada,96,7.4925750665,Medio,17.47528,-97.247688
200060105,Tizacoto [Colonia],5,5.8731215391,Bajo,17.42811,-97.216991
200060106,Tepozán [Fraccionamiento],41,10.4045988411,Alto,17.431728,-97.218791
200060110,La Cruz Verde,14,7.6760602717,Medio,17.468133,-97.215026
200070001,Asunción Ocotlán,2350,8.0753090236,Medio,16.759179,-96.721326
200070002,Jelaro,45,8.137919283,Medio,16.755186,-96.722852
200080001,Asunción Tlacolulita,432,10.4465976108,Alto,16.300263,-95.726305
200080002,San Juan Alotepec,302,9.6626214913,Alto,16.185574,-95.773272
200090001,Ayotzintepec,3883,10.5573711557,Alto,17.676709,-96.133271
200090003,Monte Tinta,491,8.2033283148,Medio,17.763637,-96.139003
200090006,San Pedro Ozumacín,1662,8.555127575,Medio,17.677916,-96.226328
200090007,Monte Mario,134,9.8336181682,Alto,17.675755,-96.162634
