CLAVE_UNICA,NOM_LOC,POBTOT,SCORE_REZAGO,GRADO_REZAGO
200050028,Cieneguilla,304,9.5256908297,Medio
200050033,Ixtepec Segunda [Unidad Habitacional],262,13.1390148801,Alto
200050034,Gaña,7,11.0827236295,Alto
200050036,Mena,197,11.4150505413,Alto
200050042,La Deportiva [Colonia],100,11.3672912121,Alto
200050045,Rancho Vicente López Vásquez,25,7.1399962241,Bajo
200050049,Santa Rita [Barrio],12,12.2270627469,Alto
200050054,Quinta Sección,135,11.8818559233,Alto
200050057,Tecnológico [Barrio],59,11.6277001892,Alto
200050066,La Brecha,22,9.8349903247,Alto
200050102,Santa Cruz [Colonia],98,11.1365911072,Alto
200060001,Asunción Nochixtlán,15851,11.6354666886,Alto
200060002,Santiago Amatlán,392,10.1837033574,Alto
200060003,El Cortijo,37,9.2954108017,Medio
200060004,Nuevo Morelos,107,8.7499167751,Medio
200060005,San Andrés Achio (Sachío),80,10.2925127097,Alto
200060006,San Miguel Adéquez (Adequés),83,9.0939926951,Medio
200060007,San Pedro Quilitongo,82,9.882290578,Alto
200060008,Santa Catarina Adéquez (Adequés),411,9.4624318349,Medio
200060009,Santa Cruz Río Salinas,45,9.7587443067,Alto
200060010,Santa María Añuma,52,10.3009315943,Alto
200060011,Santa María Tinú,172,9.8172311895,Alto
200060013,Santiago Ixtaltepec,116,9.1043146853,Medio
200060014,Santiago Mitlatongo,281,8.8062266505,Medio
200060015,La Cumbre,269,8.6839529385,Medio
200060016,Ojo de Agua Mitlatongo,270,8.4015665749,Medio
200060018,Cantera,25,7.0068205628,Bajo
200060019,Santiago Camotlán,24,9.5667550033,Medio
200060024,Yudanchica,28,8.1036452171,Medio
200060025,Loma Larga,22,7.8473361969,Medio
200060026,El Encinal,10,8.216046091,Medio
200060029,Reforma Asunción Nochixtlán,67,9.3989063218,Medio
200060031,Yodonguio,163,10.1441233191,Alto
200060033,Santiago Buena Vista (Ticúa),182,9.3161094039,Medio
200060034,Don Toribio,7,5.9981501703,Bajo
200060035,Yotoyuco,105,9.1980640021,Medio
200060036,Unidad Piedra de Sangre (Morelos Uno),22,8.4551126255,Medio
200060037,La Unión Libertad Ixtaltepec,60,9.0968398997,Medio
200060038,Tres Caminos,8,7.7213274421,Medio
200060048,Yuyete,16,6.490587684,Bajo
200060049,Yutielle,27,5.6559394358,Bajo
200060065,Cuesta Colorada,19,8.6948425599,Medio
200060066,Cuesta Blanca,17,10.9027940166,Alto
200060070,La Labor,332,9.7295677663,Alto
200060076,Valle Encantado [Colonia],68,11.4614664385,Alto
200060079,Yusebedo,85,11.1212349924,Alto
200060082,El Llano (La Ciénega),44,9.387013611,Medio
200060083,Los Olivos [Fraccionamiento],19,11.9781393091,Alto
200060087,La Labor (Duraznal),13,5.389532958,Bajo
200060088,El Eucalipto (Yodonguio) [Rancho],18,12.538057336,Alto
200060089,Mixtly,12,10.2887012529,Alto
200060091,El Progreso (El Moral),94,9.1247513975,Medio
200060092,Rancho Verde,37,9.4134135779,Medio
200060093,La Unión Mitlatongo,55,6.0344894204,Bajo
200060094,Piedra Azul (Morelos Dos),42,8.3272168251,Medio
200060096,Casa Blanca,37,8.1251078006,Medio
200060097,20 de Noviembre [Colonia],233,6.0530737111,Bajo
200060098,El Enebro [Fraccionamiento],28,11.868514134,Alto
200060101,El Manzano [Rancho],19,7.0587834273,Bajo
200060102,El Carrizal,46,10.5588571823,Alto
200060103,Yuxada,96,7.4925750665,Medio
200060105,Tizacoto [Colonia],5,5.8731215391,Bajo
200060106,Tepozán [Fraccionamiento],41,10.4045988411,Alto
200060110,La Cruz Verde,14,7.6760602717,Medio
200070001,Asunción Ocotlán,2350,8.0753090236,Medio
200070002,Jelaro,45,8.137919283,Medio
200080001,Asunción Tlacolulita,432,10.4465976108,Alto
200080002,San Juan Alotepec,302,9.6626214913,Alto
200090001,Ayotzintepec,3883,10.5573711557,Alto
200090003,Monte Tinta,491,8.2033283148,Medio
200090006,San Pedro Ozumacín,1662,8.555127575,Medio
200090007,Monte Mario,134,9.8336181682,Alto
200090012,Plan Juan Martínez,348,9.9216396674,Alto
200090013,San José Mano Marqués,339,11.0980868605,Alto
200100001,El Barrio de la Soledad,2399,12.2352448173,Alto
200100002,Almoloya Bajo (Estación Almoloya),864,11.994759731,Alto
200100003,Almoloya de Gutiérrez,1092,11.7324019646,Alto
200100004,Cuajinicuil,163,10.6776967078,Alto
200100005,Guiguba',796,12.5576648764,Alto
200100006,Lachigoló,511,11.6500107722,Alto
200100007,Chivaniza,158,12.1010025517,Alto
200100008,Lagunas,372,12.307319911,Alto
200100009,Los Nanches,178,11.9055272723,Alto
200100010,Nizaconejo,734,11.7530032931,Alto
200100011,Paso San Antonio,47,11.6307798982,Alto
200100012,Rincón Vaquero,250,11.8638463076,Alto
200100013,Río Grande,255,11.7402933291,Alto
200100014,San Nicolás Bichinga,88,11.0493842178,Alto
200100015,Las Cruces,116,10.4357911475,Alto
200100016,Ocotal Grande,65,6.181531774,Bajo
200100018,La Haciendita,81,11.6133113136,Alto
200100021,La Ciruela,151,11.8672889679,Alto
200100023,Nacedero,108,11.5640407504,Alto
200100024,El Ajal,177,12.039203718,Alto
200100029,Colonia Hidalgo,245,11.2229721597,Alto
200100030,Pozo de Agua,82,11.0110319252,Alto
200100032,Campo Nuevo,94,11.7594878582,Alto
200100033,Coyulápam,34,9.8758185019,Alto
200100035,La Junta,114,11.2245323298,Alto
200100036,Llano Barroso,36,8.8240060713,Medio
200100037,Niza Limón,27,11.2091892243,Alto
200100042,El Sardinero,137,12.0249800936,Alto
200100043,Las Palmitas,121,12.182958357,Alto
200100045,Loma Larga (Santa Rosa),100,11.3014329794,Alto
200100046,El Crucero Lagunas,66,11.2283836847,Alto
200100048,Llano Redondo,107,11.4293599137,Alto
200100053,El Guapinol,47,10.8189939932,Alto
200100054,La Llorona,6,11.0179166423,Alto
200100055,Reforma,47,11.3239682719,Alto
200100057,Vista Hermosa,36,10.0905518505,Alto
200100058,Llano de la Soledad,64,11.1172363833,Alto
200100059,Guigubaá Arriba,33,11.949689489,Alto
200100061,El Zapote,67,11.8754597067,Alto
200100065,Colonia Progreso,2558,12.5508767922,Alto
200100066,Palo Colorado,34,10.6589359994,Alto
200100067,San Isidro,125,8.7818912133,Medio
200100070,Loma Azul [Fraccionamiento],620,12.9144251213,Alto
200100071,El Mirador,15,10.6239330064,Alto
200100079,El Huapinol [Rancho],10,13.4706108389,Alto
200110001,Calihualá,607,10.6021189755,Alto
200110002,San Antonio o las Mesas,505,7.7475165853,Medio
200110003,San José Sabinillo,107,9.8172396622,Alto
200110004,El Calvario,138,10.6280239138,Alto
200110005,La Raya,45,8.7842926039,Medio
200120001,Candelaria Loxicha,2324,10.1431969692,Alto
200120005,La Ciénega,263,7.8145650541,Medio
200120007,Cuajinicuil,85,8.0213891234,Medio
200120010,La Guadalupe,64,8.7854901534,Medio
200120011,Los Horcones,522,8.3932478261,Medio
200120013,Miramar,463,7.3734790407,Medio
200120014,El Molino,175,6.9378768295,Bajo
200120018,San Isidro del Camino,260,8.2490054002,Medio
200120023,San Salvador,26,6.5492947859,Bajo
200120024,Santa María Tepejipana,444,8.0919688999,Medio
200120025,Santiago la Galera,401,9.1924745557,Medio
200120026,El Alacrán,392,10.475842713,Alto
200120030,El Chilar,418,7.353379308,Medio
200120031,La Galerita,78,10.114274605,Alto
200120035,Azulillo,177,7.152653665,Bajo
200120036,El Carrizal,49,5.963246874,Bajo
200120037,El Caulote,352,8.0023628634,Medio
200120038,Cerro Sollamiche,33,7.2437477623,Medio
200120039,Cerro Perico,124,7.1684123721,Bajo
200120040,Corozal Pacífico,53,7.2446043212,Medio
200120050,El Coyote [Barrio],66,7.2932654208,Medio
200120051,Río Platanar,41,6.8561303462,Bajo
200120053,Cerro Cruz,184,7.6113521617,Medio
200120054,San Agustín Río Culebra,104,7.2363854019,Medio
200120056,Sendero de Luz,7,6.6378322118,Bajo
200120057,La Soledad,11,5.9005898258,Bajo
200120059,San Lucas,162,9.1163882784,Medio
200120062,Tierra Colorada,115,7.7326280228,Medio
200120063,Tierra Blanca (Corozal),152,7.0868380492,Bajo
200120064,El Trapiche,91,10.6232785801,Alto
200120065,El Zacatal,217,7.9918294459,Medio
200120074,Llano Frío,27,6.3242821812,Bajo
200120076,Arroyo Piedra Azulillo,79,6.8205864726,Bajo
200120077,Juquilita,54,5.6415130819,Bajo
200120078,Río Candelaria,232,6.1338190412,Bajo
200120083,Faustino Ruiz,95,7.6272503909,Medio
200120084,El Mangal del Surco,77,8.3303736512,Medio
200120086,El Paraje,31,7.382209528,Medio
200120088,San Lorenzo,18,10.0743594986,Alto
200120092,El Carmen,129,6.4245839794,Bajo
200120094,La Finca,108,6.5495457188,Bajo
200120101,Pueblo Viejo,23,9.2407548099,Medio
200120105,Río los Peces,163,5.2593012797,Bajo
200120107,San Mateo,142,8.3514293085,Medio
200120109,Tierra Colorada,14,7.0019662957,Bajo
200120110,El Zapote,193,7.7504097747,Medio
200120111,La Esperanza [Barrio],237,8.7237722201,Medio
200120112,San Martín Ondinas,312,9.7785353568,Alto
200120114,El Calvario [Barrio],65,9.7779095123,Alto
200120115,Nueva Luz,22,6.8864503384,Bajo
200120116,La Guadalupe [Barrio],104,8.0302746204,Medio
200120117,Barrio Nuevo,381,8.09176063,Medio
200120118,Arroyo Piedra Horcones,194,6.8406244648,Bajo
200120119,Cerro Bilole,48,7.3657289237,Medio
200120120,Río Molino II,22,8.1655463536,Medio
200120121,San Pedro [Rancho],7,5.052805802,Bajo
200120122,Santa Rita,290,8.0933329082,Medio
200120123,Nuevo Valencia [Barrio],159,7.611349517,Medio
200130001,Ciénega de Zimatlán,2980,11.6105446939,Alto
200130002,Logoto (Guachi-Guachi),29,12.4572741414,Alto
200130005,Paraje el Carricillo (Barrio de Arriba),19,10.5588941615,Alto
200140001,Ciudad Ixtepec,26015,11.915906164,Alto
200140005,El Zapote,27,7.6520614422,Medio
200140013,Nizandá,16,11.1115127745,Alto
200140014,El Carrizal (Chivaniza),78,10.9737825497,Alto
200140017,La Huana Milpería,91,10.9882124982,Alto
200140020,La Providencia,12,12.6010564851,Alto
200140021,San Jerónimo,11,12.3290325209,Alto
200140028,Guigobazaá,5,4.6102457918,Bajo
200140032,Colonia Alejandro Cruz Martínez,116,10.8503664638,Alto
200140035,Cheguigo Juárez Quinta Sección,30,10.6975680563,Alto
200140036,Arturo Santiago Felipe,50,11.3315453209,Alto
200140044,Piedra Bola [Rancho],6,10.8894294633,Alto
200140045,La Candelaria [Colonia],275,11.3150238042,Alto
200140046,Colonia Niza Luba,330,11.9068415057,Alto
200140049,Colonia Camargo,64,9.5626510912,Medio
200140050,Colonia 5 de Febrero,43,10.7900921351,Alto
200140051,Colonia Llano Grande,93,10.1049226694,Alto
200140052,Guie Do Baa,30,6.801040579,Bajo
200140053,Loma Bonita [Colonia],30,11.9677084955,Alto
200140054,Rancho Nuevo,116,10.2101272762,Alto
200140055,Campestre Llano Blanco [Colonia],191,11.3683976682,Alto
200140056,Juquilita [Colonia],138,9.4462920605,Medio
200140057,24 de Marzo [Colonia],10,5.5350217932,Bajo
200140059,San Antonio del Monte [Rancho],17,11.1852636694,Alto
200140062,Imperio Jeromeño [Colonia],223,8.3919624058,Medio
200140063,Piedra Bola [Rancho],24,10.0294318763,Alto
200150001,Coatecas Altas,3192,7.5085778722,Medio
200150002,Peña Larga,41,10.889820759,Alto
200150003,Poblete,375,8.7615930306,Medio
200150004,Las Salinas,280,8.5895211147,Medio
200150005,Tepehuaje,545,9.253591572,Medio
200150007,El Portillo,158,9.0486680235,Medio
200150008,Chepeginio,274,9.3933954721,Medio
200150013,La Chiveta,18,8.91243004,Medio
200150014,Agua de Guaje,51,8.6089961965,Medio
200150015,Pochotlillo,107,7.7591161129,Medio
200150020,Paredón Amarillo,66,7.9778281231,Medio
200150021,Loma del Chilillo,53,6.1646640677,Bajo
200150022,Las Salinitas,25,7.834887457,Medio
200150023,Tierra Blanca,87,8.3672547702,Medio
200150025,Loma Cuarta,40,8.8557348209,Medio
200150026,Río Sabino (Tercera Sección),35,6.3335154946,Bajo
200160001,Coicoyán de las Flores,2293,7.6043796807,Medio
200160002,Coyul,1055,6.6654446586,Bajo
200160003,El Jicaral,1378,5.6703452363,Bajo
200160004,Rancho Pastor,406,6.0574600191,Bajo
200160005,Santiago Tilapa,828,6.209488598,Bajo
200160006,Tierra Colorada,869,6.7347908325,Bajo
200160007,La Trinidad,469,5.7102335865,Bajo
200160009,Zaragoza,24,4.7693136051,Bajo
200160010,Llano Encino Amarillo,533,6.8272841062,Bajo
200160012,Río Alumbrado,253,5.6609278126,Bajo
200160014,Cerro de Aire (Yucutachi),177,6.2138937478,Bajo
200160015,El Arenal,14,5.437941461,Bajo
200160016,Los Ángeles,155,5.5698456117,Bajo
200160017,Yutiotoso,116,5.5461529037,Bajo
200160018,Lázaro Cárdenas,430,6.7946063542,Bajo
200160019,Barrio San José,88,6.2756131735,Bajo
200160020,Loma Flor,95,5.8437174886,Bajo
200160021,San Antonio Benito Juárez,213,5.4759033129,Bajo
200160022,Llano de Lodo,93,4.7052426188,Bajo
200160023,Barrio Laguna Río Alumbrado,29,5.2718410854,Bajo
200160024,Barrio Copala Río Alumbrado,45,6.3664380968,Bajo
200170001,La Compañía,752,9.9338526861,Alto
200170002,Agua Blanca,310,10.2547098941,Alto
200170003,Agua del Espino,1197,8.9755151371,Medio
200170004,La Chopa,78,8.9980607291,Medio
200170005,La Labor,310,9.2146604143,Medio
200170006,Los Pitillos,97,8.4119219277,Medio
200170007,Río de Ejutla,389,9.5466091736,Medio
200170008,La Y,166,8.4121602881,Medio
200170009,El Vado,206,10.1011844353,Alto
200170010,Guishilián,68,8.5307195428,Medio
200170011,El Ojo de Agua (El Vado),9,4.2303500007,Bajo
200170012,Alrededores de la Compañía,25,10.7400690282,Alto
200180001,Concepción Buenavista,277,10.8480782874,Alto
200180002,El Enebro,199,9.337197957,Medio
200180003,Río de las Palmas,53,9.5678976281,Medio
200180004,San Miguel Astatla,133,9.9404515738,Alto
200180005,Santa Cruz Corunda,71,9.7521503785,Alto
200180015,Barrio de la Cruz,17,11.625287254,Alto
200190001,Concepción Pápalo,645,10.6412378216,Alto
